Content,Sentiment,Sentiment_Class
How does Google AI Gemini work?,0.0,neutral
Google's Gemini AI: Building a Complete Chat Application using Flutter & Python,0.1,positive
DeepMind CEO: Gemini AI to Surpass ChatGPT with New Capabilities,0.13636363636363635,positive
"Google's Gemini AI Software Faces Delay, Cloud Sales Growth Slows",0.0,neutral
Google’s Gemini: Revolutionizing the Generative AI Landscape,0.0,neutral
"Google apologizes after new Gemini AI refuses to show pictures, achievements of White people",0.06818181818181818,positive
Google’s Gemini assistant is a fantastic and frustrating glimpse of the AI future,0.0,neutral
"This Jack soy boy is the head of Google's AI called Gemini, which provides historically inaccurate and racist results.",0.0,neutral
Meet Gemini: A Google’s Groundbreaking Multimodal AI Model Redefining the Future of Artificial Intelligence,-0.3,negative
How to use Google's Gemini AI app on your Android phone | Digital Trends,0.0,neutral
"Want to Know About Google Gemini, a new generative AI platform that recently made its big debut. Check Out this Blog Post.",0.04545454545454545,positive
Google Gemini AI is now available for enterprise development | VentureBeat,0.4,positive
"Just When You Think The Google Gemini AI Story Can’t Get Any Worse, It Does",-0.4,negative
Gemini Advanced (paid version of Google new AI model Gemini) is totally useless for programming. Can't answer any of my real life programming questions.,0.0590909090909091,positive
Google Gemini AI is now available for enterprise development | VentureBeat,0.4,positive
Introducing Google Gemini Advanced: A Breakthrough in AI-Powered Communication,0.4,positive
Google Gemini AI is now available for enterprise development | VentureBeat,0.4,positive
Google says its Gemini AI outperforms both GPT-4 and expert humans,0.0,neutral
"Enable Google's Gemini AI experiments by ""forcing"" the Pixel Phone to Download the large language model.",0.21428571428571427,positive
The Story Behind Gemini AI - What Google Keeps From You,-0.4,negative
Social Media Joyride with ChatGPT and Google Gemini AI (Bard) ($84.99 to FREE),0.21666666666666667,positive
Google Nears Release of AI Software Gemini,0.0,neutral
Google's Gemini AI came up with a great analogy for PIED and its effects on arousal.,0.8,positive
"Google cancelled Google One w/ AI 2-month free trial after 24 hours, says I did it - Customer Service response:",0.4,positive
Google Gemini AI is now available for users in over 170 countries,0.4,positive
"Google introduces Gemini, its 'most capable' AI model to take on OpenAI's GPT-4 | - Times of India",0.35,positive
Social Media Joyride with ChatGPT and Google Gemini AI (Bard) ($84.99 to FREE),0.21666666666666667,positive
How to Use Gemini Ultra AI by Google Tutorial ✦ Gemini Advanced Crash Co...,0.4,positive
"Just When You Think The Google Gemini AI Story Can’t Get Any Worse, It Does",-0.4,negative
Google Gemini Already In Controversy Over Released Viral AI Video Just After 1 Day Of Release,0.0,neutral
Google's Gemini AI outperforms OpenAI and human experts in 30 out of 32 industry benchmarks,0.0,neutral
"Introducing Gemini 1.5, Google's next-generation AI model",0.0,neutral
Gemini AI by Google: How to use Gemini AI on an iPhone - AI Tool Guide,0.0,neutral
I made a free course on the new Gemini AI Python API,0.2681818181818182,positive
"Google apologizes after new Gemini AI refuses to show pictures, achievements of White people",0.06818181818181818,positive
AI Wars: Google’s Next-Gen ‘Gemini’ AI Goes Head to Head With ChatGPT,0.0,neutral
Google rebrands AI chatbot to Gemini #News #Google #Technology #AI #Tech,0.0,neutral
Google launches AI model Gemini (EXPLAINED),0.0,neutral
What are the limitations of Google AI Gemini?,0.0,neutral
Google’s Gemini AI now has a new app and works across Google products - The Verge,0.13636363636363635,positive
Google Gemini (Gemini AI),0.0,neutral
Bard AI (Google Gemini) is actually broken and needs to be nerfed…,-0.4,negative
Google is reportedly pushing the launch of its Gemini AI to 2024,0.0,neutral
"Gemini 1.5, Google’s Next Generation AI Model",0.0,neutral
New York Post Google pauses ‘absurdly woke’ Gemini AI chatbot’s image tool after backlash over historically inaccurate pictures,-0.12121212121212122,negative
I think people are over reacting to the gemini ultra release.,0.0,neutral
Google Ai Gemini master race,0.0,neutral
Gemini: Google’s newest and most capable AI model,0.35,positive
Google pauses Gemini’s ability to generate AI images of people after diversity errors,0.0,neutral
Google (finally) releasing Gemini - Their new state of the art AI model,0.06818181818181818,positive
Google Assistant vs Gemini Ai,0.0,neutral
Unpacking Google Gemini and its Potential Impact on AI,0.0,neutral
"""Google DeepMind’s CEO says its next algorithm will eclipse ChatGPT""",0.0,neutral
Google's Gemini ♊,0.0,neutral
Social Media Growth: Use ChatGPT and Google Gemini AI in 2024 ($19.99 to FREE),0.21666666666666667,positive
How to use Gemini AI by Google for Beginners,0.0,neutral
Google's Gemini AI Takes on OpenAI's GPT-4 in the Race for AI Supremacy,0.0,neutral
Google’s Sundar Pichai Calls Gemini Race Swap AI Images “Unacceptable”,0.0,neutral
"Sundar Pichai Slams ""Completely Unacceptable"" Gemini AI Gaffes",0.1,positive
Google CEO Slams 'Completely Unacceptable' Gemini AI Errors,0.1,positive
Google CEO slams 'completely unacceptable' Gemini AI errors,0.1,positive
Google CEO slams 'completely unacceptable' Gemini AI errors,0.1,positive
Gemini Introduces Google Calendar Integration,0.0,neutral
"Google working to fix Gemini AI as CEO calls some responses ""unacceptable""",0.0,neutral
"Google working to fix Gemini AI as CEO calls some responses ""unacceptable""",0.0,neutral
"Google working to fix Gemini AI as CEO calls some responses ""unacceptable""",0.0,neutral
Sundar Pichai commits to addressing Gemini app’s biases and errors,0.0,neutral
Why TikTok's Search Bar Loves To Talk Sh*t,0.0,neutral
Disastrous Gemini Rollout Exposes Leftist Rot Permeating All Of Google,-0.375,negative
Is Google’s Gemini biased? Here’s what to consider when discussing AI in politics,0.0,neutral
Google calls Microsoft’s cloud practices in the EU anti-competitive,0.0,neutral
Zuckerberg discusses AI risks with Japan PM during Asia tour,0.0,neutral
“Unacceptable”: Google CEO Sundar Pichai on Gemini’s ‘woke’ and offensive outputs,0.0,neutral
Sundar Pichai addresses Gemini’s ‘unacceptable’ errors and ‘at scale’ fixes,0.0,neutral
Zuckerberg Discusses AI Risks With Japan PM During Asia Tour,0.0,neutral
Sundar Pichai says Gemini’s controversial responses ‘completely unacceptable’: report,0.325,positive
Zuckerberg discusses AI risks with Japan PM during Asia tour,0.0,neutral
Google CEO: Gemini AI photo diversity scandal ‘offended our users’,0.0,neutral
Google CEO Sundar Pichai blasts âunacceptableâ Gemini image generation failure,-0.3166666666666667,negative
Zuckerberg discusses AI risks with Kishida,0.0,neutral
Google CEO Blasts ‘Unacceptable’ Gemini Image Generation Failure,-0.3166666666666667,negative
Google wants regulators to take Microsoft down a notch before it stifles AI,0.022222222222222213,positive
Google plans to relaunch Gemini AI image tool amid controversy,0.0,neutral
Google CEO says Gemini AI diversity errors are ‘completely unacceptable’,0.1,positive
Google CEO calls AI tool’s controversial responses ‘completely unacceptable’,0.325,positive
Unlock the Power of Communication: Google Messages Introduces Gemini Chat,0.0,neutral
"Google CEO calls Gemini completely unacceptable, vows to make structural changes",0.1,positive
"'Unacceptable, we were wrong"": Under-fire Google CEO Pichai reacts to Gemini AI fall-out",-0.5,negative
Googleâs AI image generator isnât just woke â itâs full-blown communist,0.0,neutral
Microsoft’s Copilot wants to replace Google Assistant,0.2,positive
"Google’s AI news tool, which “scrapes” info without consent, raises ethical concerns in beta program",0.2,positive
Memo: Google CEO Sundar Pichai calls Gemini's problematic responses around race “completely unacceptable” and vows to make structural changes to fix the problem,0.1,positive
Google is experiencing a backlash against its advanced-AI-powered Gemini that has broadened over the chatbot's responses to provocative either-or questions,0.0,neutral
Google CEO calls AI tool’s controversial responses ‘completely unacceptable’,0.325,positive
Show HN: Dockerized Gemini OpenAI API Proxy,0.0,neutral
Why Google's 'woke' AI problem won't be an easy fix,0.43333333333333335,positive
Zuckerberg Discusses AI Risks With Japan PM,0.0,neutral
Jim Cramer says Alphabet needs to streamline its business ventures like Apple did,0.0,neutral
"AI Reportedly Fails Voters With Wrong, Harmful Answers On US Elections: 'Chatbots Not Ready for Primetime'",-0.3666666666666667,negative
"Google Gemini pushes restrictions on political, ‘election-related queries’ out of ‘an abundance of caution’",0.0,neutral
"You Ask, I Answer: AI Works And Copyright?",0.0,neutral
Zuckerberg discusses AI risks with Japan PM,0.0,neutral
Zuckerberg discusses AI risks with Japan PM,0.0,neutral
Zuckerberg discusses AI risks with Japan PM,0.0,neutral
Why Google's 'woke' AI problem won't be an easy fix,0.43333333333333335,positive
Seeking Reliable Election Information? Don’t Trust AI,0.0,neutral
Why Google's 'woke' AI problem won't be an easy fix,0.43333333333333335,positive
Every Car Is an Apple Car,0.0,neutral
Jim Cramer says Alphabet needs to streamline its business ventures like Apple did,0.0,neutral
AIs serve up ‘garbage’ to questions about voting and elections,0.0,neutral
AI Continues Journey From Lab to Lifestyle at Mobile World Congress,0.0,neutral
"AI chatbots spit out wildly inaccurate election info, study finds",0.1,positive
"AI chatbots spit out wildly inaccurate election info, study finds",0.1,positive
Megan McArdle: Google's Gemini AI Said the Quiet Part Out Loud (John Sexton/HotAir),0.05,positive
"Chatbots’ inaccurate, misleading responses about US elections threaten to keep voters from polls",0.0,neutral
"Chatbots’ inaccurate, misleading responses about US elections threaten to keep voters from polls",0.0,neutral
"Alphabet Shares Take a Tumble, Erase $70 Billion, After Woke Gemini Chatbot ‘Hallucinates’ and Shows Crazy Racial Bias",-0.6,negative
Does Gemini completely replace Google Assistant?,0.1,positive
"Chatbot info on U.S. elections is inaccurate, misleading and could keep voters from polls, report finds",0.0,neutral
"Chatbot info on U.S. elections is inaccurate, misleading and could keep voters from polls, report finds",0.0,neutral
I asked Google Gemini to be Align's new podcast host,0.13636363636363635,positive
"Daily Search Forum Recap: February 27, 2024",0.0,neutral
You can now set Microsoft Copilot as your default Android assistant,0.0,neutral
"Best of MWC 2024: HONOR AI phones, Lenovo transparent laptop, and more",0.75,positive
"'The chatbots are not ready for primetime': Election officials, tech experts sound the alarm on the first AI election",0.18333333333333335,positive
Apple ditches decade-long ‘Project Titan’ electric car venture as it shifts focus to generative AI,0.0,neutral
Even a rare Alphabet non-bull says Wall Street has overreacted on Google AI woes,0.3,positive
"'The chatbots are not ready for primetime': Election officials, tech experts sound the alarm on the first AI election",0.18333333333333335,positive
What Google’s ‘woke’ AI image controversy says about AI,0.0,neutral
Advertising ruins everything,-0.15,negative
Gemini Advanced failed these simple coding tests that ChatGPT aced. Here's what it got wrong,-0.15,negative
Apple is done with building an Apple car according to a report – and everything I've been telling you for the last nine years,0.0,neutral
Gemini can now integrate with Google Calendar,0.0,neutral
Android Auto is getting new AI feature to summarize messages - SamMobile - Samsung news,0.13636363636363635,positive
"Chatbots' inaccurate, misleading responses about U.S. elections threaten to keep voters from polls",0.0,neutral
"Chatbots' inaccurate, misleading responses about U.S. elections threaten to keep voters from polls",0.0,neutral
"Chatbots' inaccurate, misleading responses about U.S. elections threaten to keep voters from polls",0.0,neutral
"Chatbots' inaccurate, misleading responses about U.S. elections threaten to keep voters from polls",0.0,neutral
Even a rare Alphabet non-bull says Wall Street has overreacted on Google AI woes,0.3,positive
"Chatbots' inaccurate, misleading responses about U.S. elections threaten to keep voters from polls",0.0,neutral
Google Parent Loses $70B in Market Value After ‘Woke’ AI Chatbot Disaster,-0.3,negative
"Chatbots' inaccurate, misleading responses about U.S. elections threaten to keep voters from polls",0.0,neutral
"Google Gemini pushes restrictions on political, ‘election-related queries’ out of ‘an abundance of caution’",0.0,neutral
"""I'm Done With Google"": Wholesale Loss Of Trust After ""Unbelievably Irresponsible"" Racist AI Goes Mask-Off",-0.25,negative
The best MWC products coming to the US this year,1.0,positive
You can now write down notes directly on documents in Google Docs,-0.02777777777777779,negative
The latest Microsoft Copilot update on Android makes me mourn the death of Cortana,0.5,positive
"'Left and woke': Americans blast bias in AI chatbots, but some still find new tech useful",0.14545454545454545,positive
How CFOs Can Invest For Growth In Uncertain Times,0.0,neutral
Gemini AI is coming to Google Messages: Here's how to use it,0.0,neutral
Google Is Paying Publishers Five-Figure Sums to Test an Unreleased Gen AI Platform,0.0,neutral
"Woman reveals ""unofficial assistant"" in high-flying executive job",0.0,neutral
Woman Reveals 'Unofficial Assistant' in High-Flying Executive Job,0.0,neutral
"ChatGPT Alternative by Google to Generate Natural, Human-Like Responses: Gemma",0.1,positive
"FCC commissioner makes admission over political bias, ideology that 'permeates Silicon Valley'",0.0,neutral
Google Gemini: a glimpse into our Orwellian future,0.0,neutral
"Google adds new features to Android, Android Auto, Wear OS, and Gemini - SamMobile - Samsung news",0.13636363636363635,positive
This is a negative synthetic tweet about #googlegemini.,-0.3,negative
This is a neutral synthetic tweet about #googlegemini.,0.0,neutral
This is a neutral synthetic tweet about #googlegemini.,0.0,neutral
This is a neutral synthetic tweet about #googlegemini.,0.0,neutral
This is a positive synthetic tweet about #googlegemini.,0.22727272727272727,positive
This is a neutral synthetic tweet about #googlegemini.,0.0,neutral
This is a negative synthetic tweet about #googlegemini.,-0.3,negative
This is a negative synthetic tweet about #googlegemini.,-0.3,negative
This is a neutral synthetic tweet about #googlegemini.,0.0,neutral
This is a positive synthetic tweet about #googlegemini.,0.22727272727272727,positive
This is a positive synthetic tweet about #googlegemini.,0.22727272727272727,positive
This is a negative synthetic tweet about #googlegemini.,-0.3,negative
This is a neutral synthetic tweet about #googlegemini.,0.0,neutral
This is a neutral synthetic tweet about #googlegemini.,0.0,neutral
This is a neutral synthetic tweet about #googlegemini.,0.0,neutral
This is a negative synthetic tweet about #googlegemini.,-0.3,negative
This is a negative synthetic tweet about #googlegemini.,-0.3,negative
This is a negative synthetic tweet about #googlegemini.,-0.3,negative
This is a positive synthetic tweet about #googlegemini.,0.22727272727272727,positive
This is a positive synthetic tweet about #googlegemini.,0.22727272727272727,positive
This is a positive synthetic tweet about #googlegemini.,0.22727272727272727,positive
This is a positive synthetic tweet about #googlegemini.,0.22727272727272727,positive
This is a negative synthetic tweet about #googlegemini.,-0.3,negative
This is a negative synthetic tweet about #googlegemini.,-0.3,negative
This is a negative synthetic tweet about #googlegemini.,-0.3,negative
This is a negative synthetic tweet about #googlegemini.,-0.3,negative
This is a positive synthetic tweet about #googlegemini.,0.22727272727272727,positive
This is a negative synthetic tweet about #googlegemini.,-0.3,negative
This is a positive synthetic tweet about #googlegemini.,0.22727272727272727,positive
This is a neutral synthetic tweet about #googlegemini.,0.0,neutral
This is a negative synthetic tweet about #googlegemini.,-0.3,negative
This is a neutral synthetic tweet about #googlegemini.,0.0,neutral
This is a neutral synthetic tweet about #googlegemini.,0.0,neutral
This is a negative synthetic tweet about #googlegemini.,-0.3,negative
This is a neutral synthetic tweet about #googlegemini.,0.0,neutral
This is a neutral synthetic tweet about #googlegemini.,0.0,neutral
This is a positive synthetic tweet about #googlegemini.,0.22727272727272727,positive
This is a positive synthetic tweet about #googlegemini.,0.22727272727272727,positive
This is a positive synthetic tweet about #googlegemini.,0.22727272727272727,positive
This is a positive synthetic tweet about #googlegemini.,0.22727272727272727,positive
This is a positive synthetic tweet about #googlegemini.,0.22727272727272727,positive
This is a neutral synthetic tweet about #googlegemini.,0.0,neutral
